PROVINCIA,age,year_test,cases_p
CHACHAPOYAS,a. <40,2021,2666
CHACHAPOYAS,b. 40-60,2020,676
CHACHAPOYAS,b. 40-60,2021,1363
CHACHAPOYAS,c. >60,2020,240
CHACHAPOYAS,c. >60,2021,618
CHANCHAMAYO,a. <40,2020,1966
CHANCHAMAYO,a. <40,2021,3336
CHANCHAMAYO,b. 40-60,2020,1203
CHANCHAMAYO,b. 40-60,2021,2389
CHANCHAMAYO,c. >60,2020,736
CHANCHAMAYO,c. >60,2021,1237
CHEPEN,a. <40,2020,1081
CHEPEN,a. <40,2021,821
CHEPEN,b. 40-60,2020,819
CHEPEN,b. 40-60,2021,536
CHEPEN,c. >60,2020,477
CHEPEN,c. >60,2021,304
CHICLAYO,a. <40,2020,10183
CHICLAYO,a. <40,2021,12366
CHICLAYO,b. 40-60,2020,8352
CHICLAYO,b. 40-60,2021,8476
CHICLAYO,c. >60,2020,4639
CHICLAYO,c. >60,2021,4370
CHINCHA,a. <40,2020,3093
CHINCHA,a. <40,2021,2938
CHINCHA,b. 40-60,2020,1777
CHINCHA,b. 40-60,2021,1874
CHINCHA,c. >60,2020,964
CHINCHA,c. >60,2021,923
CHINCHEROS,a. <40,2020,196
CHINCHEROS,a. <40,2021,769
CHINCHEROS,b. 40-60,2020,89
CHINCHEROS,b. 40-60,2021,583
CHINCHEROS,c. >60,2020,61
CHINCHEROS,c. >60,2021,290
CHOTA,a. <40,2020,523
CHOTA,a. <40,2021,1511
CHOTA,b. 40-60,2020,313
CHOTA,b. 40-60,2021,1003
CHOTA,c. >60,2020,162
CHOTA,c. >60,2021,677
CHUCUITO,a. <40,2020,370
CHUCUITO,a. <40,2021,436
CHUCUITO,b. 40-60,2020,219
CHUCUITO,b. 40-60,2021,317
CHUCUITO,c. >60,2020,95
CHUCUITO,c. >60,2021,231
CHUMBIVILCAS,a. <40,2020,170
CHUMBIVILCAS,a. <40,2021,764
CHUMBIVILCAS,b. 40-60,2020,93
CHUMBIVILCAS,b. 40-60,2021,534
CHUMBIVILCAS,c. >60,2020,50
CHUMBIVILCAS,c. >60,2021,281
CHUPACA,a. <40,2020,921
CHUPACA,a. <40,2021,1275
CHUPACA,b. 40-60,2020,543
CHUPACA,b. 40-60,2021,791
CHUPACA,c. >60,2020,247
CHUPACA,c. >60,2021,385
CHURCAMPA,a. <40,2020,214
CHURCAMPA,a. <40,2021,347
CHURCAMPA,b. 40-60,2020,76
CHURCAMPA,b. 40-60,2021,242
CHURCAMPA,c. >60,2020,66
CHURCAMPA,c. >60,2021,162
CONCEPCION,a. <40,2020,311
CONCEPCION,a. <40,2021,905
CONCEPCION,b. 40-60,2020,284
CONCEPCION,b. 40-60,2021,496
CONCEPCION,c. >60,2020,133
CONCEPCION,c. >60,2021,251
CONDESUYOS,a. <40,2020,149
CONDESUYOS,a. <40,2021,342
CONDESUYOS,b. 40-60,2020,93
CONDESUYOS,b. 40-60,2021,248
CONDESUYOS,c. >60,2020,31
CONDESUYOS,c. >60,2021,153
CONDORCANQUI,a. <40,2020,2325
CONDORCANQUI,a. <40,2021,342
CONDORCANQUI,b. 40-60,2020,878
CONDORCANQUI,b. 40-60,2021,138
CONDORCANQUI,c. >60,2020,262
CONDORCANQUI,c. >60,2021,71
CONTRALMIRANTE VILLAR,a. <40,2020,237
CONTRALMIRANTE VILLAR,a. <40,2021,351
CONTRALMIRANTE VILLAR,b. 40-60,2020,142
